Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.10165485,34.64203233,16.09195402,16.09195402,17.77777778,17.58241758,21.14285714,13.68444444,15.55555556,10.98901099,34.52307692,22.9978022,31.65054945,22.69230769,127.8438949,59.32315859,54.15253108,88.00044504,66.0548495,80.9579252,129.4081178,132.0673806,118.6884916,145.5999552,330.4903674,202.5544843,202.7363106,,
American Samoa,ASM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27.25,7.5,6,4.5,0.5,3.5,13.25,3,3.25,9.8475,12.53,7.9525,5.475,18.2125,5.2625,3.225,,
Australia,AUS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,46.64923143,42.01770334,48.67514689,59.59730781,62.68801181,60.07272278,56.61041814,53.30761403,53.37801239,52.51600621,63.34988432,76.72364639,102.7603189,58.65644878,55.32021292,72.5115644,72.07533383,72.82103937,74.79073827,69.50256438,66.76823768,59.32752662,62.02576238,57.75883895,55.37160712,58.06463075,70.89937092,77.35873732,79.8789907,68.91702878,74.98328161,87.78951374,88.71273859,97.13859385,111.3916529,105.4642057,104.9200985,105.794978,102.7163899,97.31602948,102.1888219,95.4683063,93.53500258,94.48304044,83.93220211,85.59817443,89.32765838,78.0951063,60.9279254,77.46701244,68.11520907,69.42181816,72.8357217,79.6105265,79.4678592,89.08681006,89.32498179,85.87009363,,
Austria,AUT,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,148.9088218,172.6264128,196.8623188,209.0959565,218.8433735,134.2221535,260.3475,227.0412242,265.8952681,257.1361917,277.2173913,260.7065491,273.5726552,223.5244386,207.1230973,244.4269737,246.2230216,253.60181,264.5436638,265.1692708,254.8773402,231.7667752,266.6782488,270.1038062,268.288674,217.095205,207.6441974,216.1865569,187.9369431,212.6928471,199.7923875,185.9331476,184.6370684,175.6851722,167.6096181,187.9432624,176.3869132,175.9259259,160.4850214,154.5689778,156.9574621,143.6823105,133.6550655,131.3427101,135.7159412,130.6992448,110.2667151,110.0452885,83.40626372,108.4873149,103.3892321,125.4519962,135.6104587,144.5557446,144.7091598,139.7206376,134.8759161,135.0578307,,
Azerbaijan,AZE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00117336,31.47219956,22.62705964,22.59167005,9.30076199,13.15789474,8.73072885,7.562058195,2.245836985,6.48254072,10.43378871,7.642099538,11.9747922,13.36046007,13.33894531,10.63754045,20.9375336,13.41141942,9.954885622,15.57458769,19.07650253,19.9624526,31.75203737,50.96609382,44.2146073,36.67366913,60.67989895,,
Burundi,BDI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,0.132802125,0.126903553,0.125,0.256048387,0.590425532,0.848223897,0.899553571,0.624731183,1.021505376,0.803225806,0.567914439,0.805732484,1.187165775,0.967741935,1.182795699,1.182795699,1.397849462,2.975268817,1.94516129,2.506451613,3.333333333,2.795698925,2.795698925,5.053763441,2.258064516,2.258064516,5.592473118,4.133333333,3.333333333,3.191489362,2.978723404,1.052631579,3.805263158,4.135416667,3.645833333,3.58974359,1.343813387,0.304040404,1.111675127,3.546025105,3.343333333,2.018823529,2.171111111,1.861052632,3.627368421,5.635,5.7956,9.301458333,10.81514167,8.33625,14.41630833,17.751625,23.780925,,
Belgium,BEL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,384.6156902,462.5159363,479.2407592,431.8657315,467.246988,503.2404427,533.4707071,485.5257836,540.4129555,524.1398176,521.5906788,539.5927052,561.6517766,531.0193286,459.2515275,470.1926606,464.1136131,484.69207,462.3066528,587.1430446,547.3947368,559.3667546,594.2028986,547.5065617,556.4136126,556.2091503,624.1017964,541.0691004,523.4680574,501.305483,465.7894737,396.6346154,381.6884661,339.3617021,353.5469108,364.2691415,352.8735632,353.95189,348.2245132,,,326.2223558,339.4215569,337.2809524,332.3973903,325.8693587,335.0882002,224.4881517,282.0142857,324.9460432,317.8060606,328.5516812,321.3615196,304.0305998,305.4779988,294.8151636,298.3407297,293.4268824,,
Benin,BEN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.642391304,0.635106383,0.442708333,0.826530612,1.1,0.72815534,2.331775701,2.714545455,3.847457627,4.75,4.24,4.6453125,3.366153846,3.444360902,1.762043796,1.428571429,0.769230769,1.324137931,0.904761905,0.574666667,1.807843137,2,3.461538462,4.688535032,7.274683544,6.804402516,5.918125,4.294409938,2.037037037,6.813003096,7.294444444,9.401840491,10.44727273,10.03235294,20.11173184,15.73384615,18.55619048,16.75866667,24.65217391,14.78991597,12.69387755,16.36666667,0.802264151,0.054716981,0.461944235,0.0132,0.2456,0.3204,6.544,9.134,4.44,10.29041923,5.002277778,8.086548148,0.133233333,9.949325,0.016396429,36.63401071,,
Burkina Faso,BFA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.013653484,0.051546392,0.035914179,0.045137273,0.04631774,0.046082949,0.04587156,0.091324201,0.207084469,0.258122744,0.401818182,0.482909728,0.256268593,0.493218249,0.478850758,1.882352941,2.640384615,3.726037736,2.67037037,1.569398907,3.531182796,3.672183099,4.602079723,3.909897611,4.072483221,5.401652893,5.805528455,4.325414997,5.835127479,6.038801712,5.944252874,6.175397974,6.12244898,6.739363285,7.191715976,6.923850575,11.26375661,12.88,11.12820513,9.168378378,0.371333333,0.427659574,10.39137255,12.54065217,15.24367347,13.40425532,10.10102041,9.5345,9.451929825,9.4285,10.70245614,13.56697167,15.46079677,15.88075667,16.288695,21.77351667,18.17412,17.57213667,,
