Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,110.0916678,98.10556983,97.48512255,113.2071799,111.3822147,111.6077221,107.4820765,117.034722,108.7122654,116.9729605,107.9535024,103.4809385,112.2608155,93.60910578,113.6463221,115.2995539,111.3972031,120.1620829,114.3702683,118.4754274,122.8019194,138.6424399,149.9540191,156.3660523,157.1348315,143.3212809,139.3389823,146.2044664,188.7862824,236.5021534,256.1668275,262.2855183,278.576559,264.9004937,272.483112,330.6934324,345.8293504,344.317497,317.1900661,235.2522307,224.3361446,228.4729868,231.1089982,252.3745,236.9127904,224.6736474,181.0697894,215.5698811,152.6385416,282.4134604,242.34266,267.7300119,222.4656431,383.4001369,253.4117031,282.4820304,309.2797451,283.9154547,,
Austria,AUT,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.97560976,108,130,487.5,553.3333333,474,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,53.39086322,59.97685478,60.76104565,45.59101977,49.45452922,53.02287668,51.31250401,37.31710975,42.35547221,38.19240088,37.45115912,37.48788421,38.88614759,37.31750246,36.51830511,37.37208665,36.80627877,34.99412596,32.36583946,33.5636159,32.78329393,35.60033585,37.48960931,38.10045662,38.68061874,41.59335288,38.53049908,38.74883287,36.83486239,33.92226148,29.15980231,33.19919517,34.11264612,45.83333333,36.829559,40.88541667,32.14659686,29.48473282,27.63636364,,,28.12611399,30.15074468,28.62356032,26.4899792,24.83544533,24.3031639,18.38781056,23.92123599,25.17464004,24.60491742,25.47330308,20.48199641,19.80647476,20.01532385,20.4287812,20.34694485,20.34694485,,
Benin,BEN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18246.55172,12769.1358,8334.375,7000,7550.333333,8102.666667,8031.666667,14192.33333,16744,4822.222222,8857.180157,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,289.6498455,83.91347588,107.0453304,128.4246575,128.8482111,176.0947845,192.1921922,271.2000603,298.6827561,178.6226596,537.3864759,197.4476851,140.3338473,277.7058419,140.3901301,164.1947237,272.0467603,217.861446,202.8306819,215.4450695,181.4778522,172.3254346,146.1550875,158.1291996,125.0042194,137.2699018,109.1665726,106.1173393,121.8000422,131.4571746,125.6128064,103.46981,90.48987521,109.3067853,114.7229369,121.2145242,122.2669878,111.3489346,123.9742193,114.7718816,123.7386472,129.2054413,130.4410962,140.6429121,164.7302004,172.0708114,156.5491047,207.7809722,238.0816624,306.3179855,415.4171603,407.8399347,384.2473562,469.3656569,476.94974,392.3759299,460.5520369,572.9675926,,
Bulgaria,BGR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,100.1686517,92.13956188,102.0097016,95.99978355,101.8574365,121.0427852,136.9998014,131.669397,101.7233272,85.27161377,89.83643523,98.97057877,96.85891197,72.63427798,73.94513815,72.72166514,75.40150394,76.20802291,85.53237193,87.61351637,103.3204051,101.3641939,97.44483776,89.56774492,88.10467953,89.02395649,74.88802055,79.57209073,73.6986424,71.51478954,59.15142986,32.97647311,29.53271109,30.25107527,13.80846325,20.9793419,24.8327327,37.89237668,37.20971168,30.4339092,46.70720747,97.71015621,107.7159516,54.91225912,45.13951706,58.08989159,67.77004197,75.25912099,129.9656398,81.86535631,85.60237816,81.12244898,128.2791868,114.932738,133.9931744,135.795134,166.8959756,166.8959756,,
Bahrain,BHR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52551888,0.193843564,0.140095719,0.106458481,0.331462591,0.871298963,1.283094726,1.150574722,0.967616858,0.555992997,0.859666498,0.51036546,0.985525636,1.768917039,1.655882745,1.482204213,1.334622813,0.791834683,0.196365727,0.112251181,1.10954293,,
